trial,true_choice,predicted_choice,hit,nonhit,rating,origin_true_choice_probability,origin_posterior,origin_pred_probs,origin_entropy,origin_top1_hypothesis,origin_top1_probability,origin_top3_mass
22,2,2,1,0,2,0.8321844406649642,"{""28"": 0.006938722844462697, ""55"": 0.004764230222267198, ""61"": 0.029592904570663492, ""71"": 0.006964408547490863, ""75"": 0.0035934009759272375, ""90"": 0.010429489638449675, ""100"": 0.0014917783491181212, ""106"": 0.9315987944390989, ""110"": 0.004626270412521726}","[0.08297698071480597, 0.8321844406649642, 0.07748998327849506, 0.007348595341734727]",0.3671304091777334,106,0.9315987944390989,0.9716211886482121
23,1,1,1,0,2,0.9069769736764844,"{""28"": 0.0020533407297820285, ""61"": 0.003207231069441238, ""68"": 0.005092448409344343, ""71"": 0.0010572383208583731, ""74"": 0.0005185014823533362, ""90"": 0.005349485754399877, ""100"": 0.0007284578302603012, ""106"": 0.9807107982517753, ""110"": 0.0012824981517852736}","[0.9069769736764844, 0.03627571171909416, 0.008667668819414918, 0.04807964578500651]",0.1300650373585799,106,0.9807107982517753,0.9911527324155195
24,2,2,1,0,2,0.5436303384746606,"{""28"": 0.0007708535292280908, ""61"": 0.004215618959410389, ""71"": 3.1235832658691264e-10, ""74"": 1.7037270286925252e-10, ""75"": 2.556419147495749e-10, ""90"": 0.0024832538303596104, ""100"": 0.00036042449912277087, ""106"": 0.9900078019007473, ""110"": 0.002162046542758841}","[0.07582243321889129, 0.5436303384746606, 0.35126277300497266, 0.029284455301475474]",0.06954303535594174,106,0.9900078019007473,0.9967066746905173
25,2,2,1,0,2,0.7919166125713213,"{""28"": 0.0012582670061587295, ""41"": 8.399282218067861e-12, ""61"": 0.002906152249718224, ""68"": 2.6889365530831243e-10, ""90"": 0.0025146627404510056, ""100"": 0.0003763386257983875, ""106"": 0.9923891051889282, ""110"": 0.0005554739116516914}","[0.07203026828972602, 0.7919166125713213, 0.12070656982757955, 0.01534654931137316]",0.05514211939765511,106,0.9923891051889282,0.9978099201790974
26,3,3,1,0,3,0.41018785473594865,"{""0"": 4.29702265445821e-05, ""13"": 0.0002240446392334739, ""28"": 0.0006883445232551478, ""61"": 0.0007077688186166965, ""68"": 4.883946690107883e-09, ""90"": 0.0016897748676314537, ""100"": 0.00034349653307839175, ""106"": 0.9958868837430538, ""110"": 0.00041671176463978866}","[0.36471667460972296, 0.0863576404193737, 0.41018785473594865, 0.1387378302349548]",0.03333457736011755,106,0.9958868837430538,0.9982844274293019
27,1,1,1,0,2,0.6252834561992041,"{""13"": 0.001142259046909271, ""28"": 0.0023374423827973913, ""48"": 0.0017022131154572615, ""61"": 0.0018378523870231326, ""80"": 0.001152015441949306, ""90"": 0.00535713527180352, ""100"": 0.0014468584705131533, ""106"": 0.983261660190044, ""110"": 0.0017625636935027157}","[0.6252834561992041, 0.03366232054482627, 0.023754247946890687, 0.31729997530907905]",0.1173732717991685,106,0.983261660190044,0.9909562378446449
28,1,1,1,0,2,0.9493313747047529,"{""3"": 0.00017840537394388836, ""13"": 0.0025612865190784155, ""28"": 0.004576761788883576, ""48"": 0.004060051560753986, ""61"": 0.004127392872340567, ""80"": 0.0017862860749902777, ""90"": 0.008726679718287927, ""100"": 0.0023391733488430486, ""106"": 0.9716439627428783}","[0.9493313747047529, 0.028149282827152736, 0.01490219108580727, 0.0076171513822870475]",0.18129452766318344,106,0.9716439627428783,0.9849474042500498
29,3,3,1,0,2,0.472860771446968,"{""13"": 0.0008633274451166639, ""28"": 0.0016026386678365623, ""48"": 0.00578365080512058, ""50"": 0.001722828454523076, ""61"": 0.004800426737496049, ""75"": 3.4924987636623816e-10, ""80"": 4.6482147461827606e-10, ""90"": 0.004242758696289841, ""106"": 0.980984368379546}","[0.03288791757329203, 0.224927318154484, 0.472860771446968, 0.269323992825256]",0.12481018975372749,106,0.980984368379546,0.9915684459221625
30,4,4,1,0,2,0.8218789909663751,"{""13"": 0.0011409072557796614, ""28"": 0.0017436831071363998, ""48"": 0.002922478228129487, ""50"": 0.0011694223663461692, ""61"": 0.007144353956587564, ""68"": 3.878973285492338e-10, ""90"": 0.004039705770091826, ""106"": 0.9807112269063746, ""113"": 0.0011282220216568993}","[0.035674982746266085, 0.09075694817090156, 0.05168907811645733, 0.8218789909663751]",0.12808225703952233,106,0.9807112269063746,0.9918952866330539
31,4,2,0,1,2,0.060474717704684565,"{""7"": 0.0004778830517777258, ""13"": 0.0029040312313707724, ""28"": 0.003493473263177747, ""50"": 0.002864659040049928, ""61"": 0.011245047221688646, ""75"": 0.001382075462282858, ""90"": 0.007220476230410925, ""106"": 0.9677145208119765, ""113"": 0.0026978336872648884}","[0.41647859431797873, 0.4720084280138925, 0.0510382599634442, 0.060474717704684565]",0.20003958987971404,106,0.9677145208119765,0.986180044264076
