rank,stream_index,run_index,error,subject_id,plot_path
13,7002,7002,0.07512737881501723,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
14,2147,2147,0.07515694160074632,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
15,2557,2557,0.07524054612895764,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
16,2225,2225,0.07525354054846141,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
1,7244,7244,0.06354380640544299,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
2,4409,4409,0.06499134037269405,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
3,4100,4100,0.06526512338847114,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
4,177,177,0.06590773661906368,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
5,2910,2910,0.06623825456657072,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
6,1821,1821,0.06679895804858561,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
7,4743,4743,0.0669362292030762,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
8,2769,2769,0.06717001936155255,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
9,2603,2603,0.06732834669481341,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
10,7858,7858,0.06794269269077347,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
11,6202,6202,0.06796468154427986,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
12,7,7,0.06812002750851279,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
13,5438,5438,0.06814097040985091,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
14,3126,3126,0.06852621325300734,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
15,7349,7349,0.06854854555972983,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
16,497,497,0.06866345312719889,106,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_106_top16_posterior.png
1,1841,1841,0.0894018455119057,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
2,6450,6450,0.08950305740451238,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
3,5952,5952,0.08959968635994427,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
4,4103,4103,0.09021860298460158,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
5,6316,6316,0.09030573565042556,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
6,1298,1298,0.09031518056252918,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
7,1787,1787,0.09035001175290827,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
8,5227,5227,0.09039174846915896,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
9,5981,5981,0.09039920910405028,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
10,450,450,0.0904049094214842,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
11,2705,2705,0.09049450520414284,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
12,2968,2968,0.09051330690543571,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
13,2111,2111,0.09061545626368944,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
14,5455,5455,0.09063511513842294,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
15,5714,5714,0.09074240891190379,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
16,6231,6231,0.09079399049363958,102,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_102_top16_posterior.png
1,3419,3419,0.053661886812374486,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
2,920,920,0.054672292891103313,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
3,1672,1672,0.055414343483009665,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
4,7358,7358,0.05545301044928686,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
5,8127,8127,0.05549330608559604,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
6,6923,6923,0.05652480278806738,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
7,74,74,0.056928577847961466,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
8,3153,3153,0.05704656284336633,107,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_107_top16_posterior.png
