subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
1,2,5,7,4.000,3.940,-0.060,1.000,0.980,-0.020,1,1,1,0.385,0.019,0.016
1,2,5,8,4.000,3.943,-0.057,1.000,0.981,-0.019,2,2,1,0.364,0.018,0.016
1,2,5,9,4.000,3.947,-0.053,1.000,0.982,-0.018,1,1,1,1.912,0.017,0.016
1,2,5,10,4.000,3.951,-0.049,1.000,0.984,-0.016,1,1,1,0.367,0.016,0.016
1,2,5,11,4.000,3.954,-0.046,1.000,0.985,-0.015,1,2,0,0.447,0.018,0.016
1,2,5,12,4.000,3.946,-0.054,1.000,0.982,-0.018,2,1,0,0.369,0.021,0.016
1,2,5,13,4.000,3.938,-0.062,1.000,0.979,-0.021,2,1,0,0.363,0.024,0.015
1,2,5,14,4.000,3.930,-0.070,1.000,0.977,-0.023,2,1,0,0.287,0.026,0.015
1,2,5,15,4.000,3.923,-0.077,1.000,0.974,-0.026,1,1,1,0.102,0.025,0.015
1,2,5,16,4.000,3.926,-0.074,1.000,0.975,-0.025,2,2,1,0.138,0.024,0.015
1,2,5,17,4.000,3.929,-0.071,1.000,0.976,-0.024,2,2,1,0.101,0.023,0.015
1,2,5,18,4.000,3.932,-0.068,1.000,0.977,-0.023,2,2,1,0.296,0.022,0.015
1,2,5,19,4.000,3.935,-0.065,1.000,0.978,-0.022,2,2,1,0.099,0.021,0.015
1,2,5,20,4.000,3.939,-0.061,1.000,0.980,-0.020,2,2,1,0.230,0.020,0.015
1,2,5,21,4.000,3.942,-0.058,1.000,0.981,-0.019,2,2,1,0.257,0.019,0.015
1,2,5,22,4.000,3.945,-0.055,1.000,0.982,-0.018,2,2,1,0.196,0.018,0.015
1,2,5,23,4.000,3.948,-0.052,1.000,0.983,-0.017,2,2,1,0.261,0.017,0.015
1,2,5,24,4.000,3.951,-0.049,1.000,0.984,-0.016,2,2,1,0.107,0.016,0.015
1,2,5,25,4.000,3.954,-0.046,1.000,0.985,-0.015,2,2,1,0.224,0.015,0.015
1,2,5,26,4.000,3.957,-0.043,1.000,0.986,-0.014,2,2,1,0.210,0.014,0.015
1,2,5,27,4.000,3.960,-0.040,1.000,0.987,-0.013,2,2,1,0.227,0.013,0.015
1,2,5,28,4.000,3.963,-0.037,1.000,0.988,-0.012,2,2,1,0.118,0.012,0.015
1,2,5,29,4.000,3.966,-0.034,1.000,0.989,-0.011,2,2,1,0.232,0.011,0.015
1,2,5,30,4.000,3.969,-0.031,1.000,0.990,-0.010,2,2,1,0.243,0.010,0.015
1,3,2,1,1.750,1.680,-0.070,0.250,0.227,-0.023,1,2,0,0.327,0.026,0.016
1,3,2,2,1.750,1.829,0.079,0.250,0.276,0.026,1,1,1,0.117,0.025,0.016
1,3,2,3,1.750,1.825,0.075,0.250,0.275,0.025,1,1,1,0.133,0.024,0.016
1,3,2,4,1.750,1.679,-0.071,0.250,0.226,-0.024,2,1,0,0.292,0.027,0.016
1,3,2,5,1.750,1.830,0.080,0.250,0.277,0.027,1,1,1,0.245,0.026,0.016
1,3,2,6,1.750,1.826,0.076,0.250,0.275,0.025,2,1,0,0.365,0.028,0.016
1,3,2,7,1.750,1.834,0.084,0.250,0.278,0.028,1,1,1,0.112,0.027,0.016
1,3,2,8,1.750,1.831,0.081,0.250,0.277,0.027,2,1,0,0.219,0.030,0.015
1,3,2,9,1.750,1.839,0.089,0.250,0.280,0.030,1,1,1,0.206,0.029,0.015
1,3,2,10,1.750,1.665,-0.085,0.250,0.222,-0.028,2,2,1,0.191,0.028,0.015
1,3,2,11,1.750,1.668,-0.082,0.250,0.223,-0.027,1,2,0,0.374,0.030,0.015
1,3,2,12,1.750,1.839,0.089,0.250,0.280,0.030,1,1,1,0.365,0.029,0.015
1,3,2,13,1.750,1.836,0.086,0.250,0.279,0.029,1,1,1,2.211,0.028,0.015
1,3,2,14,1.750,1.667,-0.083,0.250,0.222,-0.028,1,1,1,0.102,0.027,0.015
1,3,2,15,1.750,1.830,0.080,0.250,0.277,0.027,2,2,1,0.334,0.026,0.015
1,3,2,16,1.750,1.673,-0.077,0.250,0.224,-0.026,1,1,1,0.188,0.025,0.015
1,3,2,17,1.750,1.824,0.074,0.250,0.275,0.025,1,1,1,0.074,0.024,0.015
1,3,2,18,1.750,1.679,-0.071,0.250,0.226,-0.024,2,2,1,0.681,0.023,0.015
1,3,2,19,1.750,1.682,-0.068,0.250,0.227,-0.023,2,1,0,0.330,0.025,0.015
1,3,2,20,1.750,1.825,0.075,0.250,0.275,0.025,1,2,0,0.940,0.028,0.014
1,3,2,21,1.750,1.831,0.081,0.250,0.277,0.027,2,1,0,0.295,0.030,0.014
1,3,2,22,1.750,1.662,-0.088,0.250,0.221,-0.029,1,1,1,6.694,0.029,0.014
1,3,2,23,1.750,1.665,-0.085,0.250,0.222,-0.028,1,2,0,0.875,0.031,0.014
1,3,2,24,1.750,1.658,-0.092,0.250,0.219,-0.031,1,1,1,4.748,0.030,0.014
1,3,2,25,1.750,1.839,0.089,0.250,0.280,0.030,2,2,1,2.932,0.029,0.014
1,3,2,26,1.750,1.664,-0.086,0.250,0.221,-0.029,1,1,1,1.427,0.028,0.014
1,3,2,27,1.750,1.666,-0.084,0.250,0.222,-0.028,1,1,1,0.556,0.028,0.014
1,3,2,28,1.750,1.669,-0.081,0.250,0.223,-0.027,1,1,1,0.643,0.027,0.014
1,3,2,29,1.750,1.672,-0.078,0.250,0.224,-0.026,1,1,1,0.268,0.026,0.014
1,3,2,30,1.750,1.675,-0.075,0.250,0.225,-0.025,1,1,1,0.246,0.025,0.014
1,3,3,1,2.500,2.430,-0.070,0.500,0.477,-0.023,1,2,0,1.059,0.026,0.016
1,3,3,2,2.500,2.421,-0.079,0.500,0.474,-0.026,2,1,0,0.052,0.029,0.016
