subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
402,2,3,9,2.500,2.423,-0.077,0.500,0.474,-0.026,2,1,0,0.072,0.029,0.015
402,2,3,10,2.500,2.415,-0.085,0.500,0.472,-0.028,1,1,1,0.161,0.027,0.015
402,2,3,11,2.500,2.581,0.081,0.500,0.527,0.027,2,1,0,0.394,0.030,0.015
402,2,3,12,2.500,2.411,-0.089,0.500,0.470,-0.030,2,1,0,0.479,0.032,0.015
402,2,3,13,2.500,2.404,-0.096,0.500,0.468,-0.032,1,1,1,0.130,0.031,0.015
402,2,3,14,2.500,2.593,0.093,0.500,0.531,0.031,1,1,1,0.531,0.030,0.015
402,2,3,15,2.500,2.410,-0.090,0.500,0.470,-0.030,1,1,1,0.426,0.029,0.015
402,2,3,16,2.500,2.587,0.087,0.500,0.529,0.029,1,1,1,0.319,0.028,0.015
402,2,3,17,2.500,2.584,0.084,0.500,0.528,0.028,2,2,1,1.321,0.027,0.015
402,2,3,18,2.500,2.581,0.081,0.500,0.527,0.027,1,2,0,1.020,0.030,0.015
402,2,3,19,2.500,2.412,-0.088,0.500,0.471,-0.029,2,2,1,1.119,0.029,0.014
402,2,3,20,2.500,2.415,-0.085,0.500,0.472,-0.028,1,1,1,0.608,0.028,0.014
402,2,3,21,2.500,2.582,0.082,0.500,0.527,0.027,1,1,1,0.310,0.027,0.014
402,2,3,22,2.500,2.421,-0.079,0.500,0.474,-0.026,2,2,1,0.547,0.026,0.014
402,2,3,23,2.500,2.424,-0.076,0.500,0.475,-0.025,1,1,1,0.711,0.025,0.014
402,2,3,24,2.500,2.573,0.073,0.500,0.524,0.024,2,2,1,0.309,0.024,0.014
402,2,3,25,2.500,2.430,-0.070,0.500,0.477,-0.023,1,1,1,0.129,0.023,0.014
402,2,3,26,2.500,2.567,0.067,0.500,0.522,0.022,2,1,0,0.410,0.025,0.014
402,2,3,27,2.500,2.574,0.074,0.500,0.525,0.025,2,1,0,0.398,0.027,0.014
402,2,3,28,2.500,2.420,-0.080,0.500,0.473,-0.027,1,2,0,0.613,0.029,0.014
402,2,3,29,2.500,2.413,-0.087,0.500,0.471,-0.029,2,2,1,0.255,0.029,0.014
402,2,3,30,2.500,2.584,0.084,0.500,0.528,0.028,1,1,1,0.196,0.028,0.014
402,2,2,1,1.750,1.680,-0.070,0.250,0.227,-0.023,1,1,1,1.461,0.022,0.017
402,2,2,2,1.750,1.684,-0.066,0.250,0.228,-0.022,1,2,0,0.815,0.025,0.016
402,2,2,3,1.750,1.675,-0.075,0.250,0.225,-0.025,1,1,1,0.418,0.024,0.016
402,2,2,4,1.750,1.821,0.071,0.250,0.274,0.024,1,1,1,0.718,0.023,0.016
402,2,2,5,1.750,1.818,0.068,0.250,0.273,0.023,2,2,1,0.312,0.022,0.016
402,2,2,6,1.750,1.686,-0.064,0.250,0.229,-0.021,1,1,1,2.560,0.020,0.016
402,2,2,7,1.750,1.810,0.060,0.250,0.270,0.020,2,2,1,0.285,0.019,0.016
402,2,2,8,1.750,1.807,0.057,0.250,0.269,0.019,1,2,0,0.365,0.022,0.016
402,2,2,9,1.750,1.685,-0.065,0.250,0.228,-0.022,2,2,1,0.299,0.021,0.016
402,2,2,10,1.750,1.688,-0.062,0.250,0.229,-0.021,1,2,0,0.334,0.024,0.016
402,2,2,11,1.750,1.680,-0.070,0.250,0.227,-0.023,2,2,1,0.442,0.022,0.016
402,2,2,12,1.750,1.816,0.066,0.250,0.272,0.022,1,2,0,0.719,0.025,0.015
402,2,2,13,1.750,1.676,-0.074,0.250,0.225,-0.025,1,1,1,0.768,0.024,0.015
402,2,2,14,1.750,1.679,-0.071,0.250,0.226,-0.024,1,2,0,0.807,0.027,0.015
402,2,2,15,1.750,1.672,-0.078,0.250,0.224,-0.026,1,1,1,0.252,0.025,0.015
402,2,2,16,1.750,1.675,-0.075,0.250,0.225,-0.025,1,2,0,0.966,0.028,0.015
402,2,2,17,1.750,1.667,-0.083,0.250,0.222,-0.028,1,1,1,0.698,0.027,0.015
402,2,2,18,1.750,1.671,-0.079,0.250,0.224,-0.026,1,2,0,0.434,0.029,0.015
402,2,2,19,1.750,1.836,0.086,0.250,0.279,0.029,2,2,1,0.150,0.028,0.015
402,2,2,20,1.750,1.834,0.084,0.250,0.278,0.028,2,2,1,0.701,0.027,0.015
402,2,2,21,1.750,1.831,0.081,0.250,0.277,0.027,1,1,1,1.250,0.026,0.015
402,2,2,22,1.750,1.828,0.078,0.250,0.276,0.026,1,2,0,0.475,0.029,0.014
402,2,2,23,1.750,1.834,0.084,0.250,0.278,0.028,2,2,1,0.343,0.028,0.014
402,2,2,24,1.750,1.668,-0.082,0.250,0.223,-0.027,1,1,1,0.610,0.027,0.014
402,2,2,25,1.750,1.671,-0.079,0.250,0.224,-0.026,1,1,1,0.731,0.026,0.014
402,2,2,26,1.750,1.826,0.076,0.250,0.275,0.025,2,2,1,0.302,0.025,0.014
402,2,2,27,1.750,1.823,0.073,0.250,0.274,0.024,2,2,1,0.335,0.024,0.014
402,2,2,28,1.750,1.680,-0.070,0.250,0.227,-0.023,1,1,1,0.340,0.023,0.014
402,2,2,29,1.750,1.817,0.067,0.250,0.272,0.022,1,1,1,0.167,0.022,0.014
402,2,2,30,1.750,1.815,0.065,0.250,0.272,0.022,2,2,1,0.482,0.021,0.014
402,3,3,1,2.500,2.570,0.070,0.500,0.523,0.023,1,2,0,1.064,0.026,0.016
402,3,3,2,2.500,2.421,-0.079,0.500,0.474,-0.026,1,1,1,0.778,0.025,0.016
402,3,3,3,2.500,2.425,-0.075,0.500,0.475,-0.025,1,1,1,0.660,0.024,0.016
402,3,3,4,2.500,2.571,0.071,0.500,0.524,0.024,1,1,1,0.425,0.023,0.016
402,3,3,5,2.500,2.432,-0.068,0.500,0.477,-0.023,2,2,1,0.451,0.022,0.016
402,3,3,6,2.500,2.564,0.064,0.500,0.521,0.021,2,1,0,0.383,0.024,0.016
402,3,3,7,2.500,2.572,0.072,0.500,0.524,0.024,1,1,1,0.635,0.023,0.016
402,3,3,8,2.500,2.431,-0.069,0.500,0.477,-0.023,1,1,1,0.671,0.022,0.016
402,3,3,9,2.500,2.435,-0.065,0.500,0.478,-0.022,2,2,1,1.348,0.021,0.016
402,3,3,10,2.500,2.438,-0.062,0.500,0.479,-0.021,2,1,0,0.426,0.023,0.016
402,3,3,11,2.500,2.569,0.069,0.500,0.523,0.023,2,1,0,0.841,0.026,0.015
402,3,3,12,2.500,2.577,0.077,0.500,0.526,0.026,1,1,1,0.173,0.025,0.015
402,3,3,13,2.500,2.426,-0.074,0.500,0.475,-0.025,2,1,0,1.128,0.027,0.015
402,3,3,14,2.500,2.581,0.081,0.500,0.527,0.027,2,1,0,0.521,0.030,0.015
402,3,3,15,2.500,2.412,-0.088,0.500,0.471,-0.029,1,1,1,0.316,0.029,0.015
402,3,3,16,2.500,2.585,0.085,0.500,0.528,0.028,2,2,1,0.069,0.028,0.015
402,3,3,17,2.500,2.418,-0.082,0.500,0.473,-0.027,1,2,0,0.426,0.030,0.015
402,3,3,18,2.500,2.589,0.089,0.500,0.530,0.030,2,2,1,0.591,0.029,0.015
402,3,3,19,2.500,2.414,-0.086,0.500,0.471,-0.029,2,2,1,0.344,0.028,0.015
402,3,3,20,2.500,2.583,0.083,0.500,0.528,0.028,1,1,1,1.368,0.027,0.014
402,3,3,21,2.500,2.580,0.080,0.500,0.527,0.027,2,2,1,0.274,0.026,0.014
402,3,3,22,2.500,2.577,0.077,0.500,0.526,0.026,1,1,1,0.073,0.025,0.014
402,3,3,23,2.500,2.426,-0.074,0.500,0.475,-0.025,1,2,0,0.371,0.028,0.014
402,3,3,24,2.500,2.581,0.081,0.500,0.527,0.027,2,2,1,0.421,0.027,0.014
402,3,3,25,2.500,2.422,-0.078,0.500,0.474,-0.026,2,1,0,0.616,0.029,0.014
402,3,3,26,2.500,2.415,-0.085,0.500,0.472,-0.028,2,2,1,0.492,0.028,0.014
402,3,3,27,2.500,2.418,-0.082,0.500,0.473,-0.027,1,1,1,0.604,0.027,0.014
402,3,3,28,2.500,2.579,0.079,0.500,0.526,0.026,1,1,1,0.112,0.026,0.014
402,3,3,29,2.500,2.576,0.076,0.500,0.525,0.025,1,2,0,0.450,0.028,0.014
402,3,3,30,2.500,2.583,0.083,0.500,0.528,0.028,2,2,1,0.294,0.027,0.014
402,3,5,1,4.000,3.930,-0.070,1.000,0.977,-0.023,1,1,1,2.031,0.022,0.017
402,3,5,2,4.000,3.934,-0.066,1.000,0.978,-0.022,2,2,1,0.423,0.021,0.017
402,3,5,3,4.000,3.938,-0.062,1.000,0.979,-0.021,1,1,1,0.110,0.020,0.017
402,3,5,4,4.000,3.942,-0.058,1.000,0.981,-0.019,2,2,1,0.200,0.018,0.017
