subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
403,3,4,24,3.250,3.191,-0.059,0.750,0.730,-0.020,2,1,0,0.069,0.023,0.014
403,3,4,25,3.250,3.316,0.066,0.750,0.772,0.022,2,2,1,0.054,0.022,0.014
403,3,4,26,3.250,3.313,0.063,0.750,0.771,0.021,1,1,1,0.087,0.021,0.014
403,3,4,27,3.250,3.310,0.060,0.750,0.770,0.020,1,2,0,0.873,0.023,0.014
403,3,4,28,3.250,3.183,-0.067,0.750,0.728,-0.022,2,1,0,0.227,0.025,0.014
403,3,4,29,3.250,3.324,0.074,0.750,0.775,0.025,1,2,0,0.797,0.027,0.014
403,3,4,30,3.250,3.170,-0.080,0.750,0.723,-0.027,2,1,0,0.197,0.029,0.014
403,3,1,1,1.000,1.070,0.070,0.000,0.023,0.023,2,2,1,0.076,0.022,0.017
403,3,1,2,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,0.061,0.021,0.017
403,3,1,3,1.000,1.062,0.062,0.000,0.021,0.021,1,1,1,0.107,0.020,0.017
403,3,1,4,1.000,1.058,0.058,0.000,0.019,0.019,1,1,1,0.104,0.018,0.017
403,3,1,5,1.000,1.054,0.054,0.000,0.018,0.018,2,2,1,0.390,0.017,0.017
403,3,1,6,1.000,1.050,0.050,0.000,0.017,0.017,2,2,1,0.293,0.016,0.017
403,3,1,7,1.000,1.047,0.047,0.000,0.016,0.016,1,1,1,0.072,0.015,0.017
403,3,1,8,1.000,1.043,0.043,0.000,0.014,0.014,2,2,1,0.095,0.013,0.017
403,3,1,9,1.000,1.039,0.039,0.000,0.013,0.013,2,2,1,0.264,0.012,0.017
403,3,1,10,1.000,1.035,0.035,0.000,0.012,0.012,1,2,0,0.355,0.015,0.016
403,3,1,11,1.000,1.044,0.044,0.000,0.015,0.015,1,2,0,0.190,0.018,0.016
403,3,1,12,1.000,1.052,0.052,0.000,0.017,0.017,2,2,1,0.079,0.017,0.016
403,3,1,13,1.000,1.049,0.049,0.000,0.016,0.016,2,2,1,0.121,0.015,0.016
403,3,1,14,1.000,1.045,0.045,0.000,0.015,0.015,2,2,1,7.432,0.014,0.016
403,3,1,15,1.000,1.042,0.042,0.000,0.014,0.014,1,2,0,0.278,0.017,0.016
403,3,1,16,1.000,1.050,0.050,0.000,0.017,0.017,1,1,1,0.084,0.016,0.016
403,3,1,17,1.000,1.046,0.046,0.000,0.015,0.015,2,1,0,0.094,0.019,0.015
403,3,1,18,1.000,1.054,0.054,0.000,0.018,0.018,1,1,1,0.233,0.017,0.015
403,3,1,19,1.000,1.051,0.051,0.000,0.017,0.017,1,1,1,0.843,0.016,0.015
403,3,1,20,1.000,1.048,0.048,0.000,0.016,0.016,2,2,1,0.210,0.015,0.015
403,3,1,21,1.000,1.044,0.044,0.000,0.015,0.015,1,1,1,0.052,0.014,0.015
403,3,1,22,1.000,1.041,0.041,0.000,0.014,0.014,1,1,1,0.430,0.013,0.015
403,3,1,23,1.000,1.038,0.038,0.000,0.013,0.013,1,2,0,1.123,0.016,0.015
403,3,1,24,1.000,1.045,0.045,0.000,0.015,0.015,2,2,1,4.622,0.015,0.015
403,3,1,25,1.000,1.042,0.042,0.000,0.014,0.014,2,2,1,0.133,0.014,0.015
403,3,1,26,1.000,1.039,0.039,0.000,0.013,0.013,1,1,1,0.379,0.013,0.015
403,3,1,27,1.000,1.036,0.036,0.000,0.012,0.012,2,1,0,0.307,0.015,0.015
403,3,1,28,1.000,1.043,0.043,0.000,0.014,0.014,2,2,1,0.056,0.014,0.015
403,3,1,29,1.000,1.040,0.040,0.000,0.013,0.013,1,1,1,0.014,0.013,0.015
403,3,1,30,1.000,1.037,0.037,0.000,0.012,0.012,2,2,1,0.043,0.012,0.015
403,3,2,1,1.750,1.680,-0.070,0.250,0.227,-0.023,2,1,0,0.385,0.026,0.016
403,3,2,2,1.750,1.671,-0.079,0.250,0.224,-0.026,1,1,1,0.217,0.025,0.016
403,3,2,3,1.750,1.675,-0.075,0.250,0.225,-0.025,2,2,1,0.109,0.024,0.016
403,3,2,4,1.750,1.821,0.071,0.250,0.274,0.024,1,1,1,0.042,0.023,0.016
403,3,2,5,1.750,1.818,0.068,0.250,0.273,0.023,2,2,1,0.143,0.022,0.016
403,3,2,6,1.750,1.814,0.064,0.250,0.271,0.021,2,1,0,0.172,0.024,0.016
403,3,2,7,1.750,1.678,-0.072,0.250,0.226,-0.024,2,2,1,0.260,0.023,0.016
403,3,2,8,1.750,1.681,-0.069,0.250,0.227,-0.023,1,2,0,0.269,0.026,0.016
403,3,2,9,1.750,1.673,-0.077,0.250,0.224,-0.026,1,1,1,0.108,0.025,0.016
403,3,2,10,1.750,1.677,-0.073,0.250,0.226,-0.024,1,1,1,0.247,0.024,0.016
403,3,2,11,1.750,1.680,-0.070,0.250,0.227,-0.023,2,2,1,0.311,0.023,0.016
403,3,2,12,1.750,1.683,-0.067,0.250,0.228,-0.022,2,2,1,0.094,0.021,0.016
403,3,2,13,1.750,1.813,0.063,0.250,0.271,0.021,1,1,1,0.171,0.020,0.016
403,3,2,14,1.750,1.810,0.060,0.250,0.270,0.020,1,1,1,0.439,0.019,0.016
403,3,2,15,1.750,1.694,-0.056,0.250,0.231,-0.019,2,2,1,0.112,0.018,0.015
403,3,2,16,1.750,1.697,-0.053,0.250,0.232,-0.018,2,2,1,0.099,0.017,0.015
