iTrial,x,y,node,timestamp
4,927.6943724812797,310.83333333333337,head_end,1733577409139
4,927.6943724812797,310.83333333333337,head_end,1733577409156
4,927.6943724812797,310.83333333333337,head_end,1733577409172
4,927.6943724812797,310.83333333333337,head_end,1733577409189
4,927.6943724812797,310.83333333333337,head_end,1733577409206
4,927.6943724812797,310.83333333333337,head_end,1733577409222
4,927.6943724812797,310.83333333333337,head_end,1733577409239
4,927.6943724812797,310.83333333333337,head_end,1733577409256
4,1078,450,up,1733577409265
5,326,325,down,1733577412076
5,329.0279772877331,321.41800275845895,head_end,1733577412124
5,332.143832170666,319.61906310304187,head_end,1733577412139
5,347.6037496900023,310.6932755616036,head_end,1733577412156
5,370.14753196420475,297.6776167970405,head_end,1733577412172
5,398.780629677362,281.14629012461637,head_end,1733577412189
5,422.41669750802293,267.5,head_end,1733577412206
5,422.41669750802293,267.5,head_end,1733577412222
5,422.41669750802293,267.5,head_end,1733577412239
5,422.41669750802293,267.5,head_end,1733577412256
5,422.41669750802293,267.5,head_end,1733577412272
5,422.41669750802293,267.5,head_end,1733577412289
5,422.41669750802293,267.5,head_end,1733577412305
5,422.41669750802293,267.5,head_end,1733577412322
5,422.41669750802293,267.5,head_end,1733577412339
5,520,228,up,1733577412345
5,447,250,down,1733577413304
5,452.49545425012593,252.36597830194245,head_neck,1733577413312
5,453.2443075329415,252.7983289463595,head_neck,1733577413328
5,454.4266966949524,253.4809816473334,head_neck,1733577413343
5,455.1755222345324,253.91331627418603,head_neck,1733577413356
5,456.6707346055561,254.77657753909222,head_neck,1733577413372
5,458.60365920177503,255.89255207504243,head_neck,1733577413389
5,464.0807949577683,259.0547778781533,head_neck,1733577413405
5,473.42591960365667,264.45018810806755,head_neck,1733577413422
5,492.3875693734934,275.3977017069622,head_neck,1733577413439
5,505.0227091319613,282.69260304776213,head_neck,1733577413455
5,506.85417437700573,283.75,head_neck,1733577413472
5,506.85417437700573,283.75,head_neck,1733577413489
5,506.85417437700573,283.75,head_neck,1733577413505
5,506.85417437700573,283.75,head_neck,1733577413522
5,506.85417437700573,283.75,head_neck,1733577413539
5,506.85417437700573,283.75,head_neck,1733577413550
5,557,347,up,1733577413550
6,848,331,down,1733577416606
6,851.1419503774619,331.6357718245763,head_end,1733577416686
6,847.5967795264671,329.5889664794313,head_end,1733577416693
6,844.915086155118,328.04069008959885,head_end,1733577416705
6,832.5732663574548,320.91513710712815,head_end,1733577416722
6,813.5601297611333,309.9378975751028,head_end,1733577416739
6,790.1833629514964,296.44131496477576,head_end,1733577416755
6,764.1881734583798,281.4329853132896,head_end,1733577416772
