iSub,feature_name,level,threshold_mean_mean
113,leg,5,0.014966666666666666
113,tail,1,0.020633333333333333
113,tail,2,0.024
113,tail,3,0.035333333333333335
113,tail,4,0.03416666666666667
113,tail,5,0.03436666666666666
114,neck,1,0.01951307952921817
114,neck,2,0.023818832917456324
114,neck,3,0.023764362091689775
114,neck,4,0.03392243880007921
114,neck,5,0.024816512642502248
114,head,1,0.015378712522907904
114,head,2,0.019134318519164754
114,head,3,0.022245409487039527
114,head,4,0.02034787142231935
114,head,5,0.025098912474331315
114,leg,1,0.013718950881871724
114,leg,2,0.02182825656017824
114,leg,3,0.025544419434065095
114,leg,4,0.0224831409218321
114,leg,5,0.021873236376291804
114,tail,1,0.016754524709520394
114,tail,2,0.018583074737304844
114,tail,3,0.019507102316992462
114,tail,4,0.026345171434678197
114,tail,5,0.031056349684714744
115,neck,1,0.016033333333333333
115,neck,2,0.019066666666666666
115,neck,3,0.023733333333333332
115,neck,4,0.026866666666666667
115,neck,5,0.021566666666666668
115,head,1,0.013866666666666666
115,head,2,0.016033333333333333
115,head,3,0.020966666666666668
115,head,4,0.024133333333333333
115,head,5,0.03336666666666667
115,leg,1,0.012733333333333334
115,leg,2,0.015933333333333334
115,leg,3,0.015266666666666668
115,leg,4,0.02383333333333333
115,leg,5,0.0287
115,tail,1,0.016666666666666666
115,tail,2,0.0202
115,tail,3,0.0177
115,tail,4,0.019766666666666665
115,tail,5,0.0228
116,neck,1,0.0208
116,neck,2,0.024
116,neck,3,0.030600000000000002
116,neck,4,0.0313
116,neck,5,0.03163333333333333
116,head,1,0.017033333333333334
116,head,2,0.021333333333333333
116,head,3,0.023866666666666665
116,head,4,0.033666666666666664
116,head,5,0.031933333333333334
116,leg,1,0.012633333333333333
116,leg,2,0.023366666666666664
116,leg,3,0.020666666666666667
116,leg,4,0.0321
116,leg,5,0.026533333333333336
116,tail,1,0.013766666666666667
116,tail,2,0.025733333333333334
116,tail,3,0.021666666666666667
116,tail,4,0.021766666666666667
116,tail,5,0.031233333333333335
117,neck,1,0.01746666666666667
117,neck,2,0.016133333333333333
117,neck,3,0.01633333333333333
117,neck,4,0.023533333333333333
117,neck,5,0.021666666666666667
117,head,1,0.017933333333333336
117,head,2,0.013433333333333334
117,head,3,0.0178
117,head,4,0.022766666666666668
117,head,5,0.0141
117,leg,1,0.021733333333333334
117,leg,2,0.023966666666666667
117,leg,3,0.019966666666666667
117,leg,4,0.02443333333333333
117,leg,5,0.0151
117,tail,1,0.014199999999999999
117,tail,2,0.015966666666666667
117,tail,3,0.020966666666666668
117,tail,4,0.0152
117,tail,5,0.030233333333333334
118,neck,1,0.028
118,neck,2,0.0263
118,neck,3,0.04276666666666666
118,neck,4,0.04303333333333333
118,neck,5,0.0352
118,head,1,0.0303
118,head,2,0.0326
118,head,3,0.026233333333333334
118,head,4,0.030633333333333335
118,head,5,0.023866666666666665
118,leg,1,0.0218
118,leg,2,0.015366666666666667
118,leg,3,0.034833333333333334
118,leg,4,0.03556666666666666
118,leg,5,0.02666666666666667
118,tail,1,0.0217
118,tail,2,0.029833333333333333
118,tail,3,0.027200000000000002
118,tail,4,0.04013333333333333
118,tail,5,0.0364
119,neck,1,0.027266666666666665
119,neck,2,0.020633333333333333
119,neck,3,0.021366666666666666
119,neck,4,0.0336
119,neck,5,0.027466666666666664
119,head,1,0.025333333333333333
119,head,2,0.032933333333333335
119,head,3,0.03283333333333333
119,head,4,0.024399999999999998
119,head,5,0.030133333333333335
119,leg,1,0.027733333333333332
119,leg,2,0.03326666666666667
119,leg,3,0.025566666666666668
119,leg,4,0.04083333333333334
119,leg,5,0.0431
119,tail,1,0.024399999999999998
119,tail,2,0.035133333333333336
119,tail,3,0.03779999999999999
119,tail,4,0.03963333333333333
119,tail,5,0.03406666666666667
120,neck,1,0.02656666666666667
120,neck,2,0.022633333333333335
120,neck,3,0.03196666666666667
120,neck,4,0.0171
120,neck,5,0.037000000000000005
120,head,1,0.019366666666666664
120,head,2,0.019799999999999998
120,head,3,0.04013333333333333
120,head,4,0.03473333333333333
120,head,5,0.0317
120,leg,1,0.02196666666666667
120,leg,2,0.02743333333333333
120,leg,3,0.03553333333333333
120,leg,4,0.036366666666666665
120,leg,5,0.0291
120,tail,1,0.024566666666666667
120,tail,2,0.03543333333333333
120,tail,3,0.0346
120,tail,4,0.029166666666666667
120,tail,5,0.04533333333333334
121,neck,1,0.013433333333333334
121,neck,2,0.0191
121,neck,3,0.0263
121,neck,4,0.0315
121,neck,5,0.04543333333333333
121,head,1,0.012366666666666666
121,head,2,0.025433333333333332
121,head,3,0.028533333333333334
121,head,4,0.02493333333333333
121,head,5,0.032433333333333335
121,leg,1,0.0152
121,leg,2,0.018899999999999997
121,leg,3,0.031599999999999996
121,leg,4,0.022833333333333334
121,leg,5,0.02443333333333333
121,tail,1,0.017533333333333335
121,tail,2,0.0247
121,tail,3,0.023566666666666666
121,tail,4,0.03606666666666667
121,tail,5,0.03626666666666667
122,neck,1,0.0157
122,neck,2,0.0283
122,neck,3,0.0249
122,neck,4,0.032433333333333335
122,neck,5,0.0516
122,head,1,0.019299999999999998
122,head,2,0.03116666666666667
122,head,3,0.03106666666666667
122,head,4,0.028399999999999998
122,head,5,0.03496666666666667
122,leg,1,0.021133333333333334
122,leg,2,0.0402
122,leg,3,0.03173333333333333
122,leg,4,0.0303
122,leg,5,0.05103333333333333
122,tail,1,0.0208
122,tail,2,0.0222
122,tail,3,0.03476666666666666
122,tail,4,0.03213333333333333
122,tail,5,0.03453333333333333
123,neck,1,0.016766666666666666
123,neck,2,0.017066666666666667
123,neck,3,0.019566666666666666
123,neck,4,0.03403333333333333
123,neck,5,0.033166666666666664
123,head,1,0.0159
123,head,2,0.0222
123,head,3,0.029266666666666667
123,head,4,0.03563333333333333
123,head,5,0.04283333333333333
123,leg,1,0.019433333333333334
123,leg,2,0.018766666666666664
123,leg,3,0.027733333333333332
123,leg,4,0.028533333333333334
123,leg,5,0.02196666666666667
123,tail,1,0.014933333333333333
123,tail,2,0.022633333333333335
123,tail,3,0.02746666666666667
123,tail,4,0.02666666666666667
123,tail,5,0.02696666666666667
124,neck,1,0.016566666666666667
124,neck,2,0.015566666666666668
124,neck,3,0.019433333333333334
124,neck,4,0.022633333333333335
124,neck,5,0.0277
124,head,1,0.013933333333333332
124,head,2,0.019399999999999997
124,head,3,0.0242
124,head,4,0.0291
124,head,5,0.02843333333333333
124,leg,1,0.014233333333333332
124,leg,2,0.019966666666666667
124,leg,3,0.021066666666666668
124,leg,4,0.024533333333333334
124,leg,5,0.013466666666666665
124,tail,1,0.0139
124,tail,2,0.020466666666666668
124,tail,3,0.0203
124,tail,4,0.0308
124,tail,5,0.016966666666666668
201,neck,1,0.016933333333333335
201,neck,2,0.016
201,neck,3,0.0208
201,neck,4,0.016933333333333335
201,neck,5,0.016266666666666665
201,head,1,0.009533333333333333
201,head,2,0.017533333333333335
201,head,3,0.017533333333333335
201,head,4,0.015766666666666665
201,head,5,0.012433333333333333
201,leg,1,0.015333333333333334
201,leg,2,0.0128
201,leg,3,0.0202
201,leg,4,0.014733333333333333
201,leg,5,0.020766666666666666
201,tail,1,0.012466666666666666
201,tail,2,0.015300000000000001
201,tail,3,0.020966666666666668
201,tail,4,0.019299999999999998
201,tail,5,0.03496666666666667
202,neck,1,0.016166666666666666
202,neck,2,0.020766666666666666
202,neck,3,0.026266666666666667
202,neck,4,0.019766666666666665
202,neck,5,0.023566666666666666
202,head,1,0.017233333333333333
202,head,2,0.0196
202,head,3,0.024866666666666665
202,head,4,0.023100000000000002
202,head,5,0.0202
202,leg,1,0.0135
202,leg,2,0.0211
202,leg,3,0.0282
202,leg,4,0.02843333333333333
202,leg,5,0.012466666666666666
202,tail,1,0.021733333333333334
202,tail,2,0.0232
202,tail,3,0.034466666666666666
202,tail,4,0.02546666666666667
202,tail,5,0.027299999999999998
203,neck,1,0.0178
203,neck,2,0.020066666666666667
203,neck,3,0.026433333333333333
203,neck,4,0.027433333333333334
203,neck,5,0.036533333333333334
203,head,1,0.032933333333333335
203,head,2,0.0175
203,head,3,0.021533333333333335
203,head,4,0.028666666666666667
203,head,5,0.0274
203,leg,1,0.0201
203,leg,2,0.0201
203,leg,3,0.020233333333333332
203,leg,4,0.0237
203,leg,5,0.03133333333333334
203,tail,1,0.0111
203,tail,2,0.019933333333333334
203,tail,3,0.020466666666666668
203,tail,4,0.03006666666666667
203,tail,5,0.025366666666666666
204,neck,1,0.016900000000000002
204,neck,2,0.029833333333333333
204,neck,3,0.028133333333333333
204,neck,4,0.05413333333333334
204,neck,5,0.03136666666666667
204,head,1,0.021933333333333336
204,head,2,0.0296
204,head,3,0.0382
204,head,4,0.0351
204,head,5,0.0262
204,leg,1,0.026266666666666667
204,leg,2,0.026266666666666667
204,leg,3,0.028166666666666666
204,leg,4,0.037333333333333336
204,leg,5,0.015333333333333334
204,tail,1,0.028166666666666666
204,tail,2,0.0214
204,tail,3,0.037333333333333336
204,tail,4,0.03816666666666667
204,tail,5,0.0346
205,neck,1,0.0203
205,neck,2,0.030500000000000003
205,neck,3,0.0394
205,neck,4,0.0298
205,neck,5,0.034166666666666665
205,head,1,0.023966666666666667
205,head,2,0.03166666666666667
205,head,3,0.0343
205,head,4,0.027866666666666665
205,head,5,0.0282
205,leg,1,0.022833333333333334
205,leg,2,0.027366666666666664
205,leg,3,0.030166666666666668
205,leg,4,0.0114
205,leg,5,0.0151
205,tail,1,0.025366666666666666
205,tail,2,0.0218
205,tail,3,0.026033333333333335
205,tail,4,0.029433333333333332
205,tail,5,0.03203333333333333
206,neck,1,0.0177
206,neck,2,0.023166666666666665
206,neck,3,0.0269
206,neck,4,0.0251
206,neck,5,0.037333333333333336
206,head,1,0.016833333333333332
206,head,2,0.0268
206,head,3,0.0276
206,head,4,0.031033333333333336
206,head,5,0.0195
206,leg,1,0.020066666666666667
206,leg,2,0.020166666666666666
206,leg,3,0.02493333333333333
206,leg,4,0.0227
206,leg,5,0.032966666666666665
206,tail,1,0.015633333333333332
206,tail,2,0.016033333333333333
206,tail,3,0.025066666666666668
206,tail,4,0.025766666666666667
206,tail,5,0.02656666666666667
207,neck,1,0.022133333333333335
207,neck,2,0.03183333333333333
207,neck,3,0.027399999999999997
