val,un_pro,origin
"[0.5625, 0.5625, 0.4375, 0.5625]",[],头很长，脖子较长，腿很短，尾巴较长。
"[0.5625, 0.5625, 0.5625, 0.5625]",[],头较长，脖子很长，腿很长，尾巴很长。
"[0.4375, 0.4375, 0.5625, 0.5625]",[],头很短，脖子短，腿很长，尾巴长。
"[0.4375, 0.5625, 0.5625, 0.5625]",[],头很长，脖子很短，腿较长，尾巴较长。
"[0.5625, 0.4375, 0.4375, 0.4375]",[],头较短，脖子很长，腿很短，尾巴短。
"[0.625, 0.625, 0.5, 0.5]",[],头较长，脖子较长。
"[0.625, 0.375, 0.5, 0.5]",[],头较短，脖子较长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子较长。
"[0.625, 0.375, 0.5, 0.5]",[],头较短，脖子很长。
"[0.5, 0.75, 0.5, 0.5]",[],头很长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子很长。
"[0.625, 0.375, 0.5, 0.5]",[],头很短，脖子较长。
"[0.375, 0.625, 0.5, 0.5]",[],头较长，脖子很短。
"[0.625, 0.375, 0.5, 0.5]",[],脖子很长，头较短。
"[0.375, 0.625, 0.5, 0.5]",[],头很长，脖子很短。
"[0.4166666666666667, 0.5833333333333334, 0.5, 0.4166666666666667]",[],头较长，脖子较短，尾巴很短。
"[0.25, 0.25, 0.5, 0.5]",[],头很短 脖子很短。
"[0.375, 0.375, 0.5, 0.5]",[],头较短，脖子很短。
"[0.625, 0.375, 0.5, 0.5]",[],头很短，脖子很长。
"[0.625, 0.375, 0.5, 0.5]",[],头较短，脖子很长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子很长。
"[0.375, 0.375, 0.5, 0.5]",[],头较短，脖子很短。
"[0.5833333333333334, 0.4166666666666667, 0.5833333333333334, 0.5]",[],头较短，脖子长，腿长。
"[0.25, 0.25, 0.5, 0.5]",[],头很短脖子较短。
"[0.375, 0.375, 0.5, 0.5]",[],头较短，脖子很短。
"[0.625, 0.375, 0.5, 0.5]",[],头很短，脖子较长。
"[0.625, 0.375, 0.5, 0.5]",[],头较短，脖子较长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子较长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子较长。
"[0.375, 0.625, 0.5, 0.5]",[],头很长，脖子很短。
"[0.4166666666666667, 0.4166666666666667, 0.5, 0.5833333333333334]",[],头较短，脖子很短，尾巴很长。
"[0.5833333333333334, 0.4166666666666667, 0.5, 0.5833333333333334]",[],头较短，脖子很长，尾巴很长。
"[0.625, 0.375, 0.5, 0.5]",[],头较短，脖子很长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子很长。
"[0.625, 0.375, 0.5, 0.5]",[],头较短，脖子很长。
"[0.625, 0.375, 0.5, 0.5]",[],头很短，脖子较长。
"[0.625, 0.375, 0.5, 0.5]",[],头较短，脖子较长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子很长。
"[0.625, 0.625, 0.5, 0.5]",[],头很长，脖子较长。
"[0.375, 0.375, 0.5, 0.5]",[],头很短，脖子较短。
