subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
401,2,5,27,4.000,3.925,-0.075,1.000,0.975,-0.025,2,1,0,0.918,0.028,0.014
401,2,5,28,4.000,3.918,-0.082,1.000,0.973,-0.027,1,2,0,0.886,0.030,0.014
401,2,5,29,4.000,3.912,-0.088,1.000,0.971,-0.029,1,2,0,1.174,0.032,0.014
401,2,5,30,4.000,3.906,-0.094,1.000,0.969,-0.031,2,1,0,0.668,0.034,0.014
401,1,5,1,4.000,3.930,-0.070,1.000,0.977,-0.023,2,2,1,0.844,0.022,0.017
401,1,5,2,4.000,3.934,-0.066,1.000,0.978,-0.022,1,2,0,0.178,0.025,0.016
401,1,5,3,4.000,3.925,-0.075,1.000,0.975,-0.025,1,2,0,0.106,0.028,0.016
401,1,5,4,4.000,3.917,-0.083,1.000,0.972,-0.028,2,2,1,0.676,0.027,0.016
401,1,5,5,4.000,3.920,-0.080,1.000,0.973,-0.027,2,2,1,0.223,0.026,0.016
401,1,5,6,4.000,3.924,-0.076,1.000,0.975,-0.025,1,1,1,0.325,0.024,0.016
401,1,5,7,4.000,3.927,-0.073,1.000,0.976,-0.024,2,2,1,0.834,0.023,0.016
401,1,5,8,4.000,3.931,-0.069,1.000,0.977,-0.023,2,1,0,0.657,0.026,0.016
401,1,5,9,4.000,3.923,-0.077,1.000,0.974,-0.026,1,1,1,0.269,0.025,0.016
401,1,5,10,4.000,3.926,-0.074,1.000,0.975,-0.025,1,2,0,1.043,0.027,0.015
401,1,5,11,4.000,3.919,-0.081,1.000,0.973,-0.027,1,2,0,0.327,0.030,0.015
401,1,5,12,4.000,3.911,-0.089,1.000,0.970,-0.030,1,1,1,0.265,0.029,0.015
401,1,5,13,4.000,3.915,-0.085,1.000,0.972,-0.028,1,1,1,0.151,0.028,0.015
401,1,5,14,4.000,3.918,-0.082,1.000,0.973,-0.027,2,1,0,0.233,0.030,0.015
401,1,5,15,4.000,3.911,-0.089,1.000,0.970,-0.030,1,1,1,1.372,0.029,0.015
401,1,5,16,4.000,3.914,-0.086,1.000,0.971,-0.029,2,2,1,0.823,0.028,0.015
401,1,5,17,4.000,3.917,-0.083,1.000,0.972,-0.028,1,1,1,0.236,0.027,0.015
401,1,5,18,4.000,3.920,-0.080,1.000,0.973,-0.027,1,1,1,0.792,0.026,0.015
401,1,5,19,4.000,3.923,-0.077,1.000,0.974,-0.026,2,2,1,0.256,0.025,0.015
401,1,5,20,4.000,3.926,-0.074,1.000,0.975,-0.025,2,2,1,1.034,0.024,0.015
401,1,5,21,4.000,3.929,-0.071,1.000,0.976,-0.024,2,1,0,0.350,0.027,0.014
401,1,5,22,4.000,3.922,-0.078,1.000,0.974,-0.026,1,1,1,0.649,0.026,0.014
401,1,5,23,4.000,3.925,-0.075,1.000,0.975,-0.025,1,1,1,0.822,0.025,0.014
401,1,5,24,4.000,3.928,-0.072,1.000,0.976,-0.024,2,2,1,0.119,0.024,0.014
401,1,5,25,4.000,3.931,-0.069,1.000,0.977,-0.023,1,2,0,0.306,0.026,0.014
401,1,5,26,4.000,3.924,-0.076,1.000,0.975,-0.025,1,1,1,0.604,0.025,0.014
401,1,5,27,4.000,3.927,-0.073,1.000,0.976,-0.024,1,2,0,0.266,0.027,0.014
401,1,5,28,4.000,3.921,-0.079,1.000,0.974,-0.026,2,2,1,0.125,0.026,0.014
401,1,5,29,4.000,3.923,-0.077,1.000,0.974,-0.026,1,2,0,1.324,0.028,0.014
