iSub,iSession,iTrial,invalid,noinfo,neck_value,head_value,leg_value,tail_value,neck_direct,head_direct,leg_direct,tail_direct,neck_indirect,head_indirect,leg_indirect,tail_indirect,text
8,1,27,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,28,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,29,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子一样长。
8,1,30,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,31,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,脖子、腿、尾巴差不多长。
8,1,32,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,33,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,34,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿较长。
8,1,35,0,0,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,头、脖子较长，腿、尾巴短。
8,1,36,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,脖子、尾巴短。
8,1,37,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头最长。
8,1,38,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿最长。
8,1,39,0,0,1,3,1,NA,1,1,1,NA,NA,NA,NA,NA,头长，脖子短，腿最短。
8,1,40,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
8,1,41,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,42,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,43,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,44,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、脖子差不多长。
8,1,45,0,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,腿短，脖子和尾巴差不多长。
8,1,46,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子最长，头和尾巴差不多长。
8,1,47,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、尾巴差不多长。
8,1,48,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、腿和尾巴差不多长且较短。
8,1,49,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,50,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度不一。
8,1,51,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头和脖子差不多长，腿和尾巴差不多长。
8,1,52,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,53,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子短，其余三个部位较长，且差不多长。
8,1,54,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、尾差不多长且较短，脖子和腿差不多长且较长。
8,1,55,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、尾一样长。
8,1,56,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、尾一样长。
8,1,57,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,58,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子短。
8,1,59,0,0,NA,3,NA,1,NA,1,NA,1,NA,NA,NA,NA,头长，腿、尾巴短。
8,1,60,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、尾巴长。
8,1,61,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,脖子、尾巴长，头短。
8,1,62,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度相似。
8,1,63,0,0,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,头、脖子长，腿、尾巴短。
8,1,64,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子、腿长度相似。
8,1,65,0,0,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,头、脖子、尾巴长度相似且较长，腿最短。
8,1,66,0,0,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,脖子、尾巴、腿较长，头较短。
8,1,67,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴较长。
8,1,68,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,脖子、腿、尾巴较长，头较短。
8,1,69,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,脖子和腿差不多长。
8,1,70,0,0,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,腿最短，头、脖子、尾巴较长。
8,1,71,0,0,NA,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,头、脖子、腿较长，尾巴较短。
8,1,72,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头较长。
8,1,73,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头、尾长度相近。
8,1,74,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度相近。
8,1,75,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,头、腿长度相近。
8,1,76,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,头、脖子、腿和尾巴都较短。
8,1,77,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,头、尾巴较短。
8,1,78,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子、腿长度相近。
8,1,79,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头、脖子较长。
8,1,80,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,81,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,82,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴长度相似。
8,1,83,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子和腿长度相似。
8,1,84,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴长度相似。
8,1,85,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴长度相似。
8,1,86,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子短。
8,1,87,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴长度相似。
8,1,88,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,89,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴长度相似。
8,1,90,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,91,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,92,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子和腿长度近似。
8,1,93,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长度和躯干近似。
8,1,94,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长，四个部位长度各不相同。
8,1,95,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子长度近似。
8,1,96,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴和腿长度近似。
8,1,97,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度各不相同。
8,1,98,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度各不相同。
8,1,99,0,0,NA,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,头、脖子、腿较长，尾巴稍短。
8,1,100,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度各不相同。
8,1,101,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度各不相同。
8,1,102,0,0,3,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,腿短，头、脖子和尾长。
8,1,103,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度各不相同。
8,1,104,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,头比脖子长。
8,1,105,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,头比脖子长。
8,1,106,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、脖子、腿和尾巴都较长。
8,1,107,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,有两个部位的长度超过了躯干。
8,1,108,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿较长。
8,1,109,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,头和腿较长。
8,1,110,0,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,头、尾较长，腿较短。
8,1,111,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,尾巴短。
8,1,112,0,0,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,头、腿尾巴较长，脖子短。
8,1,113,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子一样长。
8,1,114,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度不同。
8,1,115,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度不同。
8,1,116,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头和尾巴一样长。
8,1,117,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子一样长。
8,1,118,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴一样长。
8,1,119,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,脖子和腿一样长。
8,1,120,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头和尾巴差不多长。
8,1,121,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,头、脖子和腿差不多长，尾巴短。
8,1,122,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头和尾巴差不多长。
8,1,123,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,头和腿比较长。
8,1,124,0,0,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,头、脖子、尾巴较长，腿较短。
8,1,125,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,126,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,127,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,128,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子较长。
8,1,129,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,脖子和腿较长。
8,1,130,0,0,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,脖子、尾巴和腿较长，头较短。
8,1,131,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴一样长。
8,1,132,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度各不相同。
8,1,133,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度各不相同。
8,1,134,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、尾巴长度相似。
8,1,135,0,0,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,腿较短，头比尾巴长。
8,1,136,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,137,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头和尾巴一样长。
8,1,138,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头和尾巴一样长。
8,1,139,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,140,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,141,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,142,0,0,3,3,3,NA,1,1,1,NA,NA,NA,NA,NA,脖子和腿长度相近，头最长。
8,1,143,0,0,3,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,头、脖子、尾长度相近，腿短。
8,1,144,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、尾巴一样长。
8,1,145,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、尾差不多长。
8,1,146,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、尾巴差不多长。
8,1,147,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,148,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度不一。
8,1,149,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、尾巴一样长。
8,1,150,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,头比脖子长。
8,1,151,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头较短。
8,1,152,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,这四个部位都较短。
8,1,153,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头和尾巴差不多长。
8,1,154,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,脖子和尾巴差不多长。
8,1,155,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,尾巴和腿差不多长。
8,1,156,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头和脖子差不多长。
8,1,157,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,158,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头和尾巴差不多长。
8,1,159,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,160,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、尾巴长度相似。
8,1,161,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,腿和脖子较短。
8,1,162,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,163,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,164,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,尾巴和腿较长。
8,1,165,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴长度相似且较长。
8,1,166,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头较长。
8,1,167,0,0,NA,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,脖子和尾巴较短，腿长。
8,1,168,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,169,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,头和腿长。
8,1,170,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,脖子和尾巴一样长，头短。
8,1,171,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴和腿长度近似。
8,1,172,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位长度都较短。
8,1,173,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子和腿长度近似。
8,1,174,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子较短。
8,1,175,0,0,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,腿和尾巴脖子较短，头稍长一点。
8,1,176,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,头、尾巴和腿长。
8,1,177,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,178,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、腿、尾巴长。
8,1,179,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,头和腿长。
8,1,180,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,181,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子长。
8,1,182,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
8,1,183,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、腿、尾巴长。
8,1,184,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、尾巴长。
8,1,185,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、脖子、尾巴长。
8,1,186,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位均短。
8,1,187,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,头、脖子、腿长。
8,1,188,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,头、脖子、腿长。
8,1,189,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头、尾长。
8,1,190,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头、脖子长。
8,1,191,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,头、腿长。
8,1,192,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,193,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,头、脖子、腿长。
8,1,194,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位均短。
8,1,195,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子、腿长。
8,1,196,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,197,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、脖子、尾巴长。
8,1,198,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,199,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,头、腿长。
8,1,200,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,201,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、尾巴长。
8,1,202,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,203,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子、腿长。
8,1,204,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头、脖子长。
8,1,205,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
8,1,206,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、尾巴长。
8,1,207,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个均短。
8,1,208,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴较长。
8,1,209,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,210,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,211,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、腿、尾巴较长。
8,1,212,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,213,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,脖子、腿较长。
8,1,214,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,脖子和腿较长。
8,1,215,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较短。
8,1,216,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、尾巴较长。
8,1,217,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴较长。
8,1,218,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,219,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,腿和尾巴较长。
8,1,220,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,脖子、腿和尾巴都较短。
8,1,221,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,脖子和腿都较长。
8,1,222,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,尾巴和腿较长。
8,1,223,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,脖子、腿和尾巴都短。
8,1,224,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴较长。
8,1,225,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴较长。
8,1,226,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,头、脖子、腿长。
8,1,227,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位都较长。
8,1,228,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴较长。
8,1,229,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿较长。
8,1,230,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,腿和尾巴较长。
8,1,231,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿较长。
8,1,232,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴较长。
8,1,233,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿较长。
8,1,234,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,235,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、腿、尾巴长。
8,1,236,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,脖子、腿较长。
8,1,237,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子较长。
8,1,238,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,尾巴和腿较长。
8,1,239,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴和腿长。
8,1,240,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
8,1,241,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,242,0,0,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,头、腿、尾巴长，脖子短。
8,1,243,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、腿、尾巴长。
8,1,244,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,245,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
8,1,246,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长。
8,1,247,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,248,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子、腿、尾巴长。
8,1,249,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,腿、尾巴长。
8,1,250,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,251,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,四个部位均短。
