iSub,version,condition,iSession,iBlock,iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,feature1,feature2,feature3,feature4,category,choice,feedback,ambigous,choRT,neck_oral,head_oral,leg_oral,tail_oral,text,human_feature_1,human_feature_2,human_feature_3,human_feature_4,neck_use,head_use,leg_use,tail_use,feature1_use,feature2_use,feature3_use,feature4_use,choice_1_feature_1,choice_1_feature_2,choice_1_feature_3,choice_1_feature_4,choice_2_feature_1,choice_2_feature_2,choice_2_feature_3,choice_2_feature_4
7,1,1,1,1,11,0.192135977367707,0.581397050029968,0.2834613656913,0.9459012490858,0.5,0.5,0.5,0.5,0.192135977367707,0.2834613656913,0.581397050029968,0.9459012490858,1,1,1.0,0,12.316,0.25,0.75,0.25,0.75,腿和脖子短，头和尾巴比较长。,0.25,0.25,0.75,0.75,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,12,0.184729469250065,0.97807268113147,0.77312858257596,0.99195771021882,0.5,0.5,0.5,0.5,0.184729469250065,0.77312858257596,0.97807268113147,0.99195771021882,2,1,1.0,0,8.055,0.25,0.75,0.75,0.75,脖子短，其余三部分比较长。,0.25,0.75,0.75,0.75,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,13,0.274222932454164,0.16941899008173,0.30355455296498,0.029301501536424,0.5,0.5,0.5,0.5,0.274222932454164,0.30355455296498,0.16941899008173,0.029301501536424,1,2,0.0,0,13.175,0.25,0.75,0.75,0.75,脖子最短，其余三部分差不多一样长。,0.25,0.75,0.75,0.75,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,14,0.79511122355649,0.79318200094547,0.049872092400597,0.593252839368777,0.5,0.5,0.5,0.5,0.79511122355649,0.049872092400597,0.79318200094547,0.593252839368777,4,2,1.0,0,22.716,0.75,0.75,0.25,0.75,腿很短，其余三部分比较长。,0.75,0.25,0.75,0.75,0,0,1,0,0,1,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,15,0.86497379111105,0.95247536617508,0.577366071866438,0.96992316278958,0.5,0.5,0.5,0.5,0.86497379111105,0.577366071866438,0.95247536617508,0.96992316278958,4,1,0.0,0,11.309,0.75,0.75,0.25,0.75,腿最短，其余三部分都很长。,0.75,0.25,0.75,0.75,0,0,1,0,0,1,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,16,0.403206523106783,0.060215526298311,0.662860414981175,0.476917151400844,0.5,0.5,0.5,0.5,0.403206523106783,0.662860414981175,0.060215526298311,0.476917151400844,2,1,1.0,0,19.385,0.75,0.25,0.75,0.75,头最短，其余三部分差不多一样长。,0.75,0.75,0.25,0.75,0,1,0,0,0,0,1,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,17,0.656300741797407,0.72191770988592,0.99432437264146,0.616198521626329,0.5,0.5,0.5,0.5,0.656300741797407,0.99432437264146,0.72191770988592,0.616198521626329,4,2,1.0,0,19.314,0.25,0.75,0.75,0.25,腿和头比较长，脖子后尾巴稍微短，一点。,0.25,0.75,0.75,0.25,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,18,0.327889415933119,0.441179606808866,0.708175337543762,0.81250783174561,0.5,0.5,0.5,0.5,0.327889415933119,0.708175337543762,0.441179606808866,0.81250783174561,2,1,1.0,0,8.809,0.25,0.75,0.75,0.75,脖子最短，其余三部分稍微长一点。,0.25,0.75,0.75,0.75,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,19,0.609252811189945,0.466844093796326,0.93712188606992,0.484639167621073,0.5,0.5,0.5,0.5,0.609252811189945,0.93712188606992,0.466844093796326,0.484639167621073,3,2,1.0,0,9.901,0.6000000000000001,0.6000000000000001,0.8,0.4,尾巴最短，腿最长。,0.6000000000000001,0.8,0.6000000000000001,0.4,0,0,1,1,0,1,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,20,0.456084903122111,0.598204991034167,0.445234027861539,0.138064567948579,0.5,0.5,0.5,0.5,0.456084903122111,0.445234027861539,0.598204991034167,0.138064567948579,1,2,0.0,1,3.462,0.75,0.75,0.75,0.25,尾巴最短，其余三部分都比较长。,0.75,0.75,0.75,0.25,0,0,0,1,0,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
