iSub,type,iTrial,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle
21,adjust_after,146,1,0.90173621963866,0.33194905158269,0.37324987918843,0.33333333333333,0.50000629132343,0.49998996719796,0.49998410663148,0.5
21,adjust_after,147,-1,0.47392952324589,0.83333333333333,0.16666666666667,0.65931971945395,0.49999319277781,0.5,0.5,0.49999796433441
21,adjust_after,148,1,1.0,0.30592502700626,0.03992422425311,0.04290708284086,0.5,0.4999980660403,0.49997703083185,0.49999885282113
21,adjust_after,149,-1,0.59751750388745,0.08580548237651,0.16666666666667,0.21442441458734,0.49999637461298,0.49999099900248,0.5,0.49999245623946
21,adjust_after,150,-1,0.42655310912922,0.49906138269134,0.66666666666667,1.0,0.49999939939221,0.50000011465098,0.5,0.5
21,adjust_after,151,1,1.0,0.11228670340417,0.79459792923361,0.83333333333333,0.5,0.49998511633832,0.49999483724883,0.5
21,adjust_after,152,1,1.0,0.47447693682294,0.17375571906236,0.68701120071953,0.5,0.4999999895393,0.49999838946007,0.49999753823179
21,adjust_after,153,1,0.19485541356091,1.00000539701336,0.50182024335604,0.16118376101646,0.49999240912356,0.49999761958849,0.49997763085576,0.4999988544344
21,adjust_after,154,-1,1.0,0.0,0.66666666666667,0.76539382004271,0.5,0.5,0.5,0.50000499785032
21,adjust_after,155,-1,0.42407432813117,1.0,1.0,1.0,0.49999787757898,0.5,0.5,0.5
21,adjust_after,156,1,0.33333333333333,0.11962503504844,0.99999963223532,0.80834335104263,0.5,0.5000009038695,0.49999979548396,0.49999453271226
21,adjust_after,157,-1,0.34300988299734,0.71847966323798,0.33333333333333,0.90545180862191,0.49999488506716,0.50000719815654,0.5,0.50000269819887
21,adjust_after,158,1,1.0,0.0,0.18182110946187,0.13531865573023,0.5,0.5,0.49997171979229,0.49999367397349
21,adjust_after,159,1,0.18224887863248,0.44985459593738,0.65375126542254,0.5,0.50000347543261,0.5000054691653,0.4999861517174,0.5
21,adjust_after,160,-1,0.65380405204441,1.0,0.83333333333333,0.13832163812656,0.500002471783,0.5,0.5,0.49999795723305
21,adjust_after,161,1,0.6878650301185,0.35462900324346,0.0,0.16666666666667,0.50000205258769,0.50000161031023,0.5,0.5
21,adjust_after,162,-1,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5
21,adjust_after,163,-1,0.34905488335441,0.5,0.33333333333333,0.0,0.49999387508603,0.5,0.5,0.5
21,adjust_after,164,1,0.94369627899789,0.29756480464702,0.16666666666667,1.0,0.50000183421388,0.5000044565545,0.5,0.5
21,adjust_after,165,-1,1.0,0.1505992079297,0.0,1.0,0.5,0.50000109009553,0.5,0.5
21,adjust_after,166,-1,0.0,0.0,0.16666666666667,0.38645545262288,0.5,0.5,0.5,0.50000805503635
21,adjust_after,167,1,0.22852528622361,0.8658802603777,0.16666666666667,0.0,0.50000254542504,0.49999835112288,0.5,0.5
21,adjust_after,168,1,0.5,0.49394334587516,0.47338908827854,0.57176787430628,0.5,0.49999638027144,0.49998572137106,0.49999908994083
21,adjust_after,169,-1,0.0,0.23255048301995,0.66666666666667,0.49333898457393,0.5,0.50000384248919,0.5,0.50000038793139
21,adjust_after,170,1,0.87712335822134,0.66671138877133,0.0,0.55223331529147,0.50000013759619,0.49999777687293,0.5,0.50000174976037
21,adjust_after,171,-1,0.88701021988501,0.91285701401446,0.66666666666667,0.43284621793412,0.49999749565375,0.49999485103058,0.5,0.50000005174451
21,adjust_after,172,-1,1.0,0.15313198546233,1.0,0.07631558465391,0.5,0.50000885679524,0.5,0.50001333451779
21,adjust_after,173,1,0.72020118342672,0.8647870060434,0.99999963223532,0.59527253378652,0.50000067249687,0.49999881767656,0.49999979548396,0.49999713708346
21,adjust_after,174,1,0.64432606453706,0.19959361144071,0.0,1.0,0.50000184178573,0.49998896832831,0.5,0.5
21,adjust_after,175,1,0.5,0.48044920500759,0.82792249645039,0.37624651493379,0.5,0.49999769704413,0.49999776685203,0.50000031789087
21,adjust_after,176,1,0.79521082530871,0.45576276392978,0.52146328085295,0.0,0.49999759505041,0.50000505178382,0.50000079124164,0.5
21,adjust_after,177,1,0.6674355937158,0.66835448665456,1.0,0.69092313451859,0.50000289925053,0.4999996154791,0.5,0.50000003374781
21,adjust_after,178,-1,0.12592191150476,0.66666666666667,0.33333333333333,0.36821574461883,0.49999829079091,0.5,0.5,0.50000032105336
21,adjust_after,179,1,0.0,-0.0,0.82414736019072,0.7571652702432,0.5,0.5,0.50000458913211,0.49999783198059
21,adjust_after,180,-1,1.0,0.0,0.0,0.36260349125716,0.5,0.5,0.5,0.50000314204731
21,adjust_after,181,1,1.0,0.78652471637796,0.73550984972799,0.0,0.5,0.49999912797197,0.50000334063757,0.5
21,adjust_after,182,1,0.91722143976262,0.86960179264522,0.2069178157961,1.0,0.50000286010407,0.49999911724249,0.49999069552863,0.5
21,adjust_after,183,1,0.19920171598305,0.06602256580021,0.35063048064441,0.52229068782799,0.50000210611497,0.50001431166104,0.49999685601668,0.49999884359826
21,adjust_after,184,-1,1.0,0.51925716997998,0.5,0.483497717963,0.5,0.50000313090668,0.5,0.50000406659053
21,adjust_after,185,-1,0.23520078518118,-2.41058753e-06,1.0,0.48086866598369,0.5000008921934,0.50000531616611,0.5,0.50000537661923
21,adjust_after,186,1,0.51485918677947,0.5654547117444,0.80375886285859,0.43608947148651,0.4999983048501,0.50000461554964,0.49999080488454,0.49999772087555
21,adjust_after,187,-1,0.30361217654841,0.15164519545864,0.83333333333333,0.57905969451087,0.49999680516111,0.5000013155565,0.5,0.49999877376299
21,adjust_after,188,-1,0.73449525191448,0.85086907706528,0.83333333333333,1.0,0.50000164879812,0.50000392938467,0.5,0.5
21,adjust_after,189,-1,0.36481035782694,0.39968319441337,0.5,0.5,0.49999549224008,0.50000773365511,0.5,0.5
21,adjust_after,190,1,0.78142035738471,0.0,0.1613143685549,0.59465163082953,0.50000265811042,0.5,0.49998120212003,0.49999353298534
21,adjust_after,191,-1,0.69596032129753,0.44749996478743,0.33333333333333,1.0,0.49999480733306,0.50000610811936,0.5,0.5
21,adjust_after,192,1,0.83733084299313,0.78469853731357,0.16782179326817,0.62084679787829,0.50000393776533,0.49999668061123,0.49998691590516,0.50000040773361
21,adjust_after,193,-1,0.48288441901872,0.67784756437471,0.0,0.72527835179187,0.49999406555603,0.49999916186129,0.5,0.50000080765831
21,adjust_after,194,1,0.21649305415008,1.0,0.83333333333333,0.33333333333333,0.50000088220737,0.5,0.5,0.5
21,adjust_after,195,-1,0.33169943007223,1.00000609096294,0.16666666666667,0.34550731105996,0.50000675050653,0.49999731351619,0.5,0.4999996470356
21,adjust_after,196,1,0.24848779944217,0.88616201760637,0.58037889414083,0.30625136900118,0.50001202924655,0.50000350023079,0.49999381813508,0.49998992050217
22,target,1,-1,0.333333333333333,0.666666666666667,0.0,0.833333333333333,0.5,0.5,0.5,0.5
22,target,2,-1,1.0,0.166666666666667,0.0,0.166666666666667,0.5,0.5,0.5,0.5
22,target,3,-1,0.666666666666667,0.166666666666667,1.0,0.833333333333333,0.5,0.5,0.5,0.5
22,target,4,-1,0.166666666666667,0.0,0.333333333333333,0.166666666666667,0.5,0.5,0.5,0.5
22,target,5,-1,1.0,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0.5
22,target,6,-1,0.166666666666667,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5,0.5
22,target,7,1,0.833333333333333,0.666666666666667,1.0,0.5,0.5,0.5,0.5,0.5
22,target,8,-1,0.0,1.0,0.333333333333333,1.0,0.5,0.5,0.5,0.5
22,target,9,-1,0.833333333333333,1.0,0.833333333333333,1.0,0.5,0.5,0.5,0.5
22,target,10,1,0.0,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5,0.5
22,target,11,-1,0.666666666666667,0.0,0.166666666666667,0.0,0.5,0.5,0.5,0.5
22,target,12,-1,0.5,0.833333333333333,1.0,0.333333333333333,0.5,0.5,0.5,0.5
22,target,13,-1,0.666666666666667,0.666666666666667,0.5,0.0,0.5,0.5,0.5,0.5
22,target,14,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22,target,15,1,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5
22,target,16,1,0.833333333333333,0.666666666666667,1.0,0.5,0.5,0.5,0.5,0.5
22,target,17,-1,0.0,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5
22,target,18,1,0.5,1.0,0.0,0.166666666666667,0.5,0.5,0.5,0.5
22,target,19,-1,0.666666666666667,0.666666666666667,0.5,0.0,0.5,0.5,0.5,0.5
22,target,20,1,0.0,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5,0.5
22,target,21,1,1.0,0.666666666666667,1.0,0.666666666666667,0.5,0.5,0.5,0.5
22,target,22,-1,0.166666666666667,0.833333333333333,0.0,0.333333333333333,0.5,0.5,0.5,0.5
22,target,23,-1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.5,0.5,0.5
22,target,24,1,0.166666666666667,1.0,0.5,0.333333333333333,0.5,0.5,0.5,0.5
22,target,25,1,0.666666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5
22,target,26,-1,0.0,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5
22,target,27,-1,0.166666666666667,0.333333333333333,0.5,0.0,0.5,0.5,0.5,0.5
22,target,28,1,0.166666666666667,0.333333333333333,0.333333333333333,1.0,0.5,0.5,0.5,0.5
22,target,29,1,0.833333333333333,0.5,1.0,0.333333333333333,0.5,0.5,0.5,0.5
22,target,30,1,0.666666666666667,1.0,0.5,0.166666666666667,0.5,0.5,0.5,0.5
22,target,31,-1,1.0,0.166666666666667,0.0,0.166666666666667,0.5,0.5,0.5,0.5
22,target,32,-1,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5
22,target,33,-1,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5
22,target,34,1,0.166666666666667,0.666666666666667,1.0,1.0,0.5,0.5,0.5,0.5
22,target,35,-1,0.333333333333333,0.833333333333333,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5
22,target,36,1,0.333333333333333,0.0,1.0,0.833333333333333,0.5,0.5,0.5,0.5
22,target,37,-1,0.666666666666667,1.0,0.833333333333333,0.166666666666667,0.5,0.5,0.5,0.5
22,target,38,-1,0.5,0.333333333333333,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5
22,target,39,1,0.833333333333333,0.666666666666667,0.0,0.0,0.5,0.5,0.5,0.5
22,target,40,1,0.5,0.333333333333333,0.833333333333333,0.166666666666667,0.5,0.5,0.5,0.5
22,target,41,1,0.5,0.666666666666667,1.0,0.5,0.5,0.5,0.5,0.5
22,target,42,1,0.833333333333333,0.166666666666667,0.0,1.0,0.5,0.5,0.5,0.5
22,target,43,1,1.0,0.0,0.833333333333333,0.5,0.5,0.5,0.5,0.5
