iSub,feature_name,feature_value,error_mean,error_std
226,neck,1.0,-0.02136116554771107,0.035259016051973326
226,tail,0.0,0.01158840787651107,0.01579303695844166
226,tail,0.166666666666667,-0.010712883358340562,0.02244715053368094
226,tail,0.333333333333333,-0.015014598527814407,0.042362455963052985
226,tail,0.5,-0.004964956497986793,0.049642937684375645
226,tail,0.666666666666667,-0.024002530762263392,0.07503361319542778
226,tail,0.833333333333333,-0.028374671235702316,0.09355871782967613
226,tail,1.0,-0.05837485553734607,0.07081105069966376
227,head,0.0,0.006662910662086428,0.01644083617981547
227,head,0.166666666666667,0.0011022598179640812,0.026788789142009533
227,head,0.333333333333333,-0.0012483988450466914,0.04464810558488603
227,head,0.5,0.013815786166583213,0.06407572999054664
227,head,0.666666666666667,-0.045005404530746605,0.06209652253267634
227,head,0.833333333333333,0.004441787725895533,0.06036052079194162
227,head,1.0,-0.011696059249792858,0.03051211777307921
227,leg,0.0,0.0037533674301403574,0.009556624175022529
227,leg,0.166666666666667,0.0027557755030597963,0.020945572015662526
227,leg,0.333333333333333,0.008086062461463091,0.031277198911200954
227,leg,0.5,0.004573411263195719,0.03883509606930155
227,leg,0.666666666666667,0.008348092153826259,0.03367793931337262
227,leg,0.833333333333333,-0.013097200431553395,0.024372869915189763
227,leg,1.0,-0.000880304290620376,0.0036272407637603235
227,neck,0.0,0.0019429734658464285,0.005623489909503586
227,neck,0.166666666666667,0.006387021820407295,0.04176813316626698
227,neck,0.333333333333333,0.03645068456900987,0.04886546376151573
227,neck,0.5,0.014072382160297504,0.08428470862008353
227,neck,0.666666666666667,0.027441567658907113,0.09919296871440907
227,neck,0.833333333333333,0.03128689063575589,0.09016453574734629
227,neck,1.0,-0.007263176653551786,0.01961133400520952
227,tail,0.0,0.004360485942941429,0.010781940936374421
227,tail,0.166666666666667,0.0007576026679076539,0.02480825871351179
227,tail,0.333333333333333,-0.0023717161949619167,0.04641340394520195
227,tail,0.5,0.001964789817711423,0.051718450905096074
227,tail,0.666666666666667,-0.018209397123602145,0.05771799816402322
227,tail,0.833333333333333,0.0052293466901305475,0.05999012823614044
227,tail,1.0,-0.005644046837868213,0.02051354216232864
228,head,0.0,0.0043079333513817855,0.01425196973546829
228,head,0.166666666666667,-0.0018807852805212807,0.026232755551862257
228,head,0.333333333333333,-0.007805387169375838,0.031887283838985814
228,head,0.5,-0.012869620118108932,0.055235198784263397
228,head,0.666666666666667,-0.007857435812354822,0.05668146108592609
228,head,0.833333333333333,-0.03182178798843517,0.0760782044087701
228,head,1.0,-0.024827885341958924,0.044507474167358174
228,leg,0.0,-0.0014735570836667856,0.001083659257908091
228,leg,0.166666666666667,0.009525863758436939,0.01946048314254284
228,leg,0.333333333333333,0.0009502003109780907,0.03216343007833356
228,leg,0.5,-0.007665139514091433,0.03201964786407999
228,leg,0.666666666666667,0.013689159766182315,0.028660329116353484
228,leg,0.833333333333333,0.001710523757231622,0.02084935922240754
228,leg,1.0,-0.0015354724248196419,0.0011345227060678873
228,neck,0.0,0.006547883972122857,0.015479780652968563
228,neck,0.166666666666667,-0.005872694004569491,0.03774561704606342
228,neck,0.333333333333333,-0.00981615133350119,0.05015323925241971
228,neck,0.5,-0.0105847084523025,0.047527362668167684
228,neck,0.666666666666667,-0.0016733336639305366,0.059055673688024946
228,neck,0.833333333333333,-0.02858224694036732,0.09126313076721074
228,neck,1.0,-0.05120047768381429,0.06582158832514312
228,tail,0.0,0.0023870024384239287,0.004582239646662512
228,tail,0.166666666666667,-0.01533453355424735,0.023536408168886136
228,tail,0.333333333333333,-0.014283383379218344,0.03953924861599607
228,tail,0.5,-0.01991542012516857,0.04326846969828021
228,tail,0.666666666666667,-0.015121313814566955,0.06685158438437722
228,tail,0.833333333333333,-0.0368539012846441,0.08470459931340145
228,tail,1.0,-0.05625826130377787,0.0648017573108237
229,head,0.0,0.0007163699757421429,0.003273774784250266
229,head,0.166666666666667,-0.009989354949813777,0.027070608481920656
229,head,0.333333333333333,0.0015419354544873745,0.0368933575549332
229,head,0.5,-0.001657250367836429,0.05642834065051746
229,head,0.666666666666667,-0.0038788073424594616,0.05108149471962661
229,head,0.833333333333333,0.023984049588829465,0.06058204766205482
229,head,1.0,-0.010438559658130366,0.02369069766457825
229,leg,0.0,0.0,0.0
229,leg,0.166666666666667,-0.005565238514315207,0.01678110550333686
229,leg,0.333333333333333,0.00038329554947380155,0.024323956386314016
229,leg,0.5,-0.010432797439658572,0.019886111047491318
229,leg,0.666666666666667,0.0031811753310705287,0.016096629036648148
229,leg,0.833333333333333,0.0022640105658062537,0.01357819585055104
229,leg,1.0,0.0,0.0
229,neck,0.0,0.0020520806501489286,0.0056766161448514015
229,neck,0.166666666666667,0.01962751830168158,0.030689743241889143
229,neck,0.333333333333333,0.014800643282505231,0.047007587755061433
229,neck,0.5,0.02127390275378215,0.04414054211115624
229,neck,0.666666666666667,0.010302837237190884,0.06800350533981213
229,neck,0.833333333333333,0.022204351445639463,0.07681713240248016
229,neck,1.0,-0.00680438656983,0.0214813678299209
