iSub,n_trials,n_text,fidelity_parseable_rate,fidelity_mean,fidelity_full_rate,fidelity_low_rate,unsupported_rate,dominant_style_tags,legacy_region_encoded_rate,legacy_region_unparsed_rate
319,1472,1441,0.9334239130434783,0.8832114553730274,0.7370923913043478,0.058423913043478264,0.06657608695652174,"direct_absolute:1369, comparison:518, body_ref:309, superlative:276, equality:66",0.9334239130434783,0.049592391304347824
320,768,768,1.0,0.9048611111111112,0.8059895833333334,0.033854166666666664,0.0,"direct_absolute:768, superlative:5",1.0,0.0
321,768,709,0.9231770833333334,0.8438645980253878,0.6666666666666666,0.057291666666666664,0.07682291666666667,"direct_absolute:709, comparison:243, superlative:91, empty:59, count_abstract:14",0.9231770833333334,0.026041666666666668
322,896,859,0.9341517857142857,0.8983060249189282,0.75,0.04575892857142857,0.06584821428571429,"direct_absolute:859, comparison:285, equality:258, superlative:194, body_ref:150",0.9341517857142857,0.0625
323,256,254,0.98046875,0.9307863782963385,0.8203125,0.0234375,0.01953125,"direct_absolute:251, comparison:70, meta:3, empty:2, count_abstract:1",0.98046875,0.01171875
324,512,512,1.0,0.9407831101190476,0.869140625,0.0078125,0.0,"direct_absolute:512, comparison:16",1.0,0.0078125
325,512,512,0.9921875,0.9251546681664792,0.775390625,0.013671875,0.0078125,direct_absolute:512,0.9921875,0.0078125
326,512,503,0.951171875,0.8641683778234087,0.720703125,0.04296875,0.048828125,"direct_absolute:483, comparison:68, body_ref:55, equality:21, superlative:21",0.951171875,0.099609375
327,128,128,1.0,0.9514508928571428,0.8828125,0.0,0.0,"direct_absolute:128, comparison:8",1.0,0.0078125
328,704,702,0.9971590909090909,0.9154422737756072,0.7798295454545454,0.008522727272727272,0.002840909090909091,"direct_absolute:702, comparison:440, equality:35, group_sum:11, negation:4",0.9971590909090909,0.008522727272727272
329,384,384,0.9921875,0.9207474065741782,0.8359375,0.0234375,0.0078125,"direct_absolute:382, ranking:10, comparison:8, superlative:5, other:2",0.9921875,0.010416666666666666
330,256,255,0.99609375,0.9555555555555555,0.91015625,0.0078125,0.00390625,"direct_absolute:255, superlative:28, comparison:11, body_ref:2, empty:1",0.99609375,0.0
331,640,612,0.9546875,0.8900553347361857,0.7875,0.053125,0.0453125,"direct_absolute:604, empty:28, superlative:19, equality:14, body_ref:1",0.9546875,0.0046875
332,128,128,1.0,0.975,0.9453125,0.0,0.0,"direct_absolute:128, comparison:1",1.0,0.0
