iSub,condition,feature1_name,feature2_name,feature3_name,feature4_name,iSession,iRun,iTrial,feature1,feature2,feature3,feature4,category,choice,rating,feedback,ambiguous,choRT,text,A,b,n_constraints,matched_rules,un_pro
333,3,green,yellow,pink,blue,1,1,25,0.686134119203102,0.507540584345851,0.316507760247758,0.326847594793022,3,1,2,0.0,1,7.117,,,,,,
333,3,green,yellow,pink,blue,1,1,26,0.725235744179621,0.0341359355628322,0.834202843911858,0.369464731354038,4,1,1,0.0,0,4.28,,,,,,
333,3,green,yellow,pink,blue,1,1,27,0.982506255172626,0.119313042046731,0.807252059818017,0.0819532909704777,4,4,1,1.0,0,1.163,,,,,,
333,3,green,yellow,pink,blue,1,1,28,0.973886172477944,0.996181048149038,0.801143335790506,0.64529843031441,4,1,2,0.0,0,4.782,,,,,,
333,3,green,yellow,pink,blue,1,1,29,0.300812376905953,0.14568796088802,0.173852804439967,0.127067779393876,1,1,1,1.0,0,0.594,,,,,,
333,3,green,yellow,pink,blue,1,1,30,0.204512657547971,0.950021798758643,0.848029479466423,0.090010040683454,2,4,1,0.0,0,2.238,,,,,,
333,3,green,yellow,pink,blue,1,1,31,0.302941199456475,0.390105922880454,0.971689901046317,0.597108864573855,1,3,1,0.0,0,5.414,,,,,,
333,3,green,yellow,pink,blue,1,1,32,0.434667453627807,0.744794302053674,0.377777407864368,0.20391776625318,2,4,1,0.0,0,1.615,,,,,,
333,3,green,yellow,pink,blue,1,1,33,0.570111446116527,0.401674661378228,0.563843574729314,0.112225977282465,4,4,1,1.0,0,0.872,,,,,,
333,3,green,yellow,pink,blue,1,1,34,0.386083709097766,0.210700100910222,0.71182244303753,0.766823341472693,1,2,1,0.5,0,2.59,,,,,,
333,3,green,yellow,pink,blue,1,1,35,0.0285651261531494,0.531843537956469,0.449532770399511,0.690362016333493,2,2,1,1.0,1,1.055,,,,,,
333,3,green,yellow,pink,blue,1,1,36,0.802741317660312,0.563799428772799,0.550908950917404,0.0020051104826764,4,2,1,0.0,0,1.302,,,,,,
333,3,green,yellow,pink,blue,1,2,37,0.104375789222493,0.598690167844827,0.529324053279458,0.296431550256506,2,4,2,0.0,1,1.109,,,,,,
333,3,green,yellow,pink,blue,1,2,38,0.0995955013579098,0.089013020615799,0.612860957513424,0.17124095619481,1,1,1,1.0,0,1.143,,,,,,
333,3,green,yellow,pink,blue,1,2,39,0.0781282036557939,0.353344113580975,0.22195439187123,0.73107151730749,1,4,1,0.0,0,3.316,,,,,,
333,3,green,yellow,pink,blue,1,2,40,0.0211465004028558,0.0863709225230821,0.754800233449589,0.96501559686499,1,2,1,0.5,0,3.189,,,,,,
333,3,green,yellow,pink,blue,1,2,41,0.243155199176024,0.664285843184594,0.490081147572976,0.981201878337786,2,2,1,1.0,1,2.968,,,,,,
333,3,green,yellow,pink,blue,1,2,42,0.273971029472466,0.782676781895452,0.863676262394078,0.204020618346124,2,1,1,0.5,0,1.326,,,,,,
