f1_length,f2_length,f3_length,f4_length,timestamp
1,0.88871247016411,1,0.95425190701032,1769670263460
1,0.88871247016411,1,0.95425190701032,1769670263477
1,0.88871247016411,1,0.95425190701032,1769670263494
1,0.88871247016411,1,0.95425190701032,1769670263510
1,0.88871247016411,1,0.95425190701032,1769670263527
1,0.88871247016411,1,0.95425190701032,1769670263544
1,0.88871247016411,1,0.95425190701032,1769670263575
1,0.88871247016411,1,0.95425190701032,1769670263584
1,0.88871247016411,1,0.95425190701032,1769670263594
1,0.88871247016411,1,0.95425190701032,1769670263610
1,0.88871247016411,1,0.95425190701032,1769670263720
1,0.88871247016411,0.98076596796943,0.95425190701032,1769670263728
1,0.88871247016411,0.91262241098166,0.95425190701032,1769670263744
1,0.88871247016411,0.77081278147891,0.95425190701032,1769670263761
1,0.88871247016411,0.58264147886821,0.95425190701032,1769670263777
1,0.88871247016411,0.39522685568886,0.95425190701032,1769670263795
1,0.88871247016411,0.23754260381535,0.95425190701032,1769670263811
1,0.88871247016411,0.13150340687012,0.95425190701032,1769670263827
1,0.88871247016411,0.05625278807412,0.95425190701032,1769670263844
1,0.88871247016411,0.03381901963349,0.95425190701032,1769670263860
1,0.88871247016411,0.04713899181859,0.95425190701032,1769670264012
1,0.88871247016411,0.05418438383555,0.95425190701032,1769670264027
1,0.88871247016411,0.0812016287159,0.95425190701032,1769670264044
1,0.88871247016411,0.10816820145684,0.95425190701032,1769670264060
1,0.88871247016411,0.13008192978098,0.95425190701032,1769670264077
1,0.88871247016411,0.17546829514543,0.95425190701032,1769670264094
1,0.88871247016411,0.20564887092393,0.95425190701032,1769670264110
1,0.88871247016411,0.23425994767359,0.95425190701032,1769670264127
1,0.88871247016411,0.25103390944647,0.95425190701032,1769670264144
1,0.88871247016411,0.25761746503759,0.95425190701032,1769670264161
1,0.88871247016411,0.26420062100405,0.95425190701032,1769670264177
1,0.88871247016411,0.26434408329718,0.95425190701032,1769670264290
1,0.88871247016411,0.25783305563811,0.95425190701032,1769670264330
1,0.88871247016411,0.278351540167,0.95425190701032,1769670264377
1,0.88871247016411,0.28521076718554,0.95425190701032,1769670264394
1,0.88871247016411,0.30569169543235,0.95425190701032,1769670264410
