iSub,ruleID,iSession,iBlock,iTrial,stiID,feature1,feature2,feature3,feature4,feature5,category,choice,presskey,rating,feedback,choRT,rateRT,recDU,text,fidelity,Intercept,X1,X2,X3,X4,X5,X1*X2,X1*X3,X1*X4,X1*X5,X2*X3,X2*X4,X2*X5,X3*X4,X3*X5,X4*X5,X1*X2*X3,X1*X2*X4,X1*X2*X5,X1*X3*X4,X1*X3*X5,X1*X4*X5,X2*X3*X4,X2*X3*X5,X2*X4*X5,X3*X4*X5,X1*X2*X3*X4,X1*X2*X3*X5,X1*X2*X4*X5,X1*X3*X4*X5,X2*X3*X4*X5,X1*X2*X3*X4*X5,rule_result
501,1,1,1,29,28,1,1,-1,1,1,1,2,2,4,0,1.85,0.871,6.241,第3和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,30,6,-1,-1,1,-1,1,1,2,2,1,0,2.182,5.286,7.965,第3和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,31,9,-1,1,-1,-1,-1,2,1,1,1,0,15.287,2.338,6.794,第3和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,32,4,-1,-1,-1,1,1,2,1,1,1,0,4.195,4.083,8.447,第1、2、3个格子为黑色，第4、5个格子为白色。,1,-0.9375,-0.0625,-0.0625,-0.0625,0.0625,0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,-0.0625,-0.0625,-0.0625,-0.0625,0.0625,-0.0625,0.0625,0.0625,0.0625,0.0625,-0.0625,0.0625,0.0625,-0.0625,-0.0625,-0.0625,-0.0625,0.0625,0.0625,0.0625,-0.0625,1
501,1,1,1,33,11,-1,1,-1,1,-1,1,2,2,1,0,6.078,0.436,5.489,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,34,11,-1,1,-1,1,-1,1,1,1,1,1,1.732,1.013,6.674,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,35,32,1,1,1,1,1,1,1,1,6,1,1.835,2.026,4.23,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,36,24,1,-1,1,1,1,2,2,2,2,1,1.151,1.89,6.897,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,37,9,-1,1,-1,-1,-1,2,2,2,2,1,3.488,0.986,4.547,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,38,22,1,-1,1,-1,1,1,1,1,4,1,3.181,1.241,4.808,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,39,7,-1,-1,1,1,-1,2,2,2,4,1,2.069,0.958,4.924,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,40,16,-1,1,1,1,1,1,1,1,4,1,1.771,0.739,4.765,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,41,23,1,-1,1,1,-1,2,2,2,4,1,1.222,1.22,4.897,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,42,1,-1,-1,-1,-1,-1,1,1,1,5,1,3.2,1.432,5.81,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,43,16,-1,1,1,1,1,1,1,1,5,1,1.497,1.653,4.246,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,44,11,-1,1,-1,1,-1,1,1,1,5,1,1.291,1.285,4.066,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,45,14,-1,1,1,-1,1,2,2,2,6,1,1.156,1.452,3.941,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,46,29,1,1,1,-1,-1,2,2,2,6,1,0.953,1.289,4.365,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,47,5,-1,-1,1,-1,-1,1,1,1,6,1,1.341,0.874,6.139,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,48,19,1,-1,-1,1,-1,2,2,2,6,1,0.907,1.809,3.316,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,49,28,1,1,-1,1,1,1,1,1,6,1,1.303,1.117,4.361,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,50,28,1,1,-1,1,1,1,1,1,6,1,1.235,1.603,3.106,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,51,13,-1,1,1,-1,-1,2,2,2,6,1,0.77,1.648,3.567,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
